municipio,data,confirmado,suspeito,lat,lon,morte,codigo_ibge,populacao_estimada_2019
Tangará,2020-06-23,25,30,-6.199529999999925,-35.80089999999996,3,241400.0,15727.0
Tenente Ananias,2020-06-23,19,21,-6.460449999999981,-38.180609999999945,2,241410.0,10786.0
Tenente Laurentino Cruz,2020-06-23,14,23,-6.146409999999946,-36.71765999999997,0,241415.0,5952.0
Tibau,2020-06-23,28,28,-4.840939999999931,-37.255699999999926,1,241105.0,4106.0
Tibau do Sul,2020-06-23,41,37,-6.188469999999938,-35.090569999999964,0,241420.0,14180.0
Timbaúba dos Batistas,2020-06-23,8,8,-6.464379999999949,-37.267169999999965,0,241430.0,2414.0
Touros,2020-06-23,252,75,-5.198869999999944,-35.46049999999997,8,241440.0,33287.0
Triunfo Potiguar,2020-06-23,2,7,-5.8670799999999295,-37.18545999999998,0,241445.0,3237.0
Umarizal,2020-06-23,14,22,-5.990989999999954,-37.81269999999995,1,241450.0,10555.0
Upanema,2020-06-23,7,26,-5.6433099999999286,-37.258699999999976,0,241460.0,14659.0
Várzea,2020-06-23,17,37,-6.3451799999999725,-35.37230999999996,1,241470.0,5500.0
Venha-Ver,2020-06-23,1,0,-6.319999999999938,-38.490929999999935,0,241475.0,4177.0
Vera Cruz,2020-06-23,50,18,-6.043829999999957,-35.432109999999966,0,241480.0,12481.0
Viçosa,2020-06-23,3,7,-5.992209999999943,-37.94571999999994,0,241490.0,1718.0
Vila Flor,2020-06-23,15,0,-6.3152599999999675,-35.07624999999996,0,241500.0,3170.0
Importados,2020-06-23,67,5,,,6,,
