municipio,confirmado_30_04,suspeito_30_04,confirmado_29_04,suspeito_29_04,confirmado_28_04,suspeito_28_04,confirmado_27_04,suspeito_27_04,confirmado_26_04,suspeito_26_04,confirmado_25_04,suspeito_25_04,confirmado_24_04,suspeito_24_04,confirmado_23_04,suspeito_23_04,confirmado_22_04,suspeito_22_04,confirmado_21_04,suspeito_21_04,confirmado_20_04,suspeito_20_04,confirmado_18_04,suspeito_18_04,confirmado_17_04,suspeito_17_04,confirmado_16_04,suspeito_16_04,confirmado_15_04,suspeito_15_04,confirmado_14_04,suspeito_14_04,confirmado_13_04,suspeito_13_04,confirmado_12_04_,suspeito_12_04,confirmado_11_04,suspeito_11_04,confirmado_10_04,suspeito_10_04,confirmado_09_04,suspeito_09_04,confirmado_08_04,suspeito_08_04,confirmado_07_04,suspeito_07_04,confirmado_05_04,suspeito_05_04,confirmado_03_04,suspeito_03_04,confirmado_02_04,suspeitos_02_04,confirmado_01_04,suspeito_01_04,confirmado_30_03,suspeitos_30_03,confirmados_28_03,suspeitos_28_03,confirmados_27_03,suspeitos_27_03,confirmados_25_03,suspeitos_25_03,confirmados_24_03,suspeitos_24_03,confirmados_22_03,suspeitos_22_03,confirmados_20_03,suspeitos_20_03,confirmados_18_03,suspeitos_18_03,confirmados_16_03,suspeitos_16_03,confirmados_13_03,suspeitos_13_03,suspeitos_11_03,suspeitos_10_03,suspeitos_06_03,suspeitos_05_03,suspeitos_03_03,suspeitos_02_03,suspeitos_28_02
Lagoa Nova,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa Salgada,1,6,1,5,,5,,3,,3,,1,,1,,1,,1,,1,,1,,,,1,,,,,,,,,,,,1,,1,,1,,1,,1,,1,,2,,2,,2,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Lajes,,2,,2,,4,,5,,4,,5,,2,,4,,3,,2,,2,,1,,1,,1,,1,,2,,2,,2,,2,,2,,1,,1,,,,,,,,,,,,2,,2,,2,,2,,3,,,,,,,,,,,,,,,,,
Lajes Pintadas,2,1,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucrécia,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,
Luís Gomes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,,1,,1,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Macaíba,17,103,15,105,16,72,15,70,15,70,11,75,10,65,11,57,11,55,10,51,10,51,8,47,6,47,6,49,6,50,7,53,4,59,3,62,2,63,2,64,2,47,2,45,2,40,2,37,1,33,1,33,1,24,1,20,1,20,,23,,21,,3,,2,,2,,,,,,,,,,,,,
Macau,,13,,13,,10,,8,,8,,10,,9,,8,,8,,8,,8,,8,,9,,5,,5,,8,,8,,9,,9,,9,,9,,7,,5,,5,,7,,7,,7,,3,,3,,3,,2,,2,,1,,,,,,,,,,,,,,,
Major Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Marcelino Vieira,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,,1,,1,,1,,1,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,3,,3,,3,,3,,1,,,,,,,,,,,,,,,,,,,
Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxaranguape,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
Messias Targino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montanhas,1,5,1,5,1,5,1,5,1,5,1,5,,6,,4,,4,,4,,4,,3,,3,,3,,3,,3,,4,,5,,6,,6,,6,,6,,7,,7,,8,,8,,5,,4,,4,,4,,4,,1,,,,,,,,,,,,,,,,,
Monte Alegre,4,3,4,4,4,5,4,3,4,3,4,3,4,2,4,1,3,2,3,1,3,1,2,2,2,2,2,2,2,2,1,3,1,3,1,7,1,7,1,7,1,8,1,7,1,4,1,4,1,4,1,4,1,2,1,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,,
Monte das Gameleiras,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,3,,2,,2,,2,,2,,2,,2,,,,,,,,,,,,,,,,,
