municipio,confirmado_29_06,suspeito_29_06,morte_29_06,confirmado_26_06,suspeito_26_06,morte_26_06,confirmado_25_06,suspeito_25_06,morte_25_06,confirmado_24_06,suspeito_24_06,morte_24_06,confirmado_23_06,suspeito_23_06,morte_23_06,confirmado_22_06,suspeito_22_06,morte_22_06,confirmado_20_06,suspeito_20_06,morte_20_06,confirmado_19_06,suspeito_19_06,morte_19_06,confirmado_18_06,suspeito_18_06,morte_18_06,confirmado_17_06,suspeito_17_06,morte_17_06,confirmado_16_06,suspeito_16_06,morte_16_06,confirmado_15_06,suspeito_15_06,morte_15_06,confirmado_13_06,suspeito_13_06,morte_13_06,confirmado_12_06,suspeito_12_06,morte_12_06,confirmado_11_06,suspeito_11_06,morte_11_06,confirmado_10_06,suspeito_10_06,morte_10_06,confirmado_09_06,suspeito_09_06,morte_09_06,confirmado_08_06,suspeito_08_06,morte_08_06,confirmado_06_06,suspeito_06_06,morte_06_06,confirmado_05_06,suspeito_05_06,morte_05_06,confirmado_04_06,suspeito_04_06,morte_04_06,confirmado_03_06,suspeito_03_06,morte_03_06,confirmado_02_06,suspeito_02_06,morte_02_06,confirmado_01_06,suspeito_01_06,morte_01_06,confirmado_30_05,suspeito_30_05,morte_30_05,confirmado_29_05,suspeito_29_05,morte_29_05,confirmado_27_05,suspeito_27_05,morte_27_05,confirmado_26_05,suspeito_26_05,morte_26_05,confirmado_25_05,suspeito_25_05,morte_25_05,confirmado_23_05,suspeito_23_05,morte_23_05,confirmado_22_05,suspeito_22_05,morte_22_05,confirmado_21_05,suspeito_21_05,morte_21_05,confirmado_20_05,suspeito_20_05,morte_20_05,confirmado_19_05,suspeito_19_05,morte_19_05,confirmado_18_05,suspeito_18_05,morte_18_05,confirmado_17_05,suspeito_17_05,morte_17_05,confirmado_16_05,suspeito_16_05,morte_16_05,confirmado_15_05,suspeito_15_05,morte_15_05,suspeito_14_05,confirmado_14_05,morte_14_05,confirmado_13_05,suspeito_13_05,morte_13_05,confirmado_12_05,suspeito_12_05,morte_12_05,confirmado_11_05,suspeito_11_05,morte_11_05,confirmado_10_05,suspeito_10_05,morte_10_05,confirmado_09_05,suspeito_09_05,morte_09_05,confirmado_08_05,suspeito_08_05,morte_08_05,confirmado_07_05,suspeito_07_05,morte_07_05,confirmado_06_05,suspeito_06_05,morte_06_05,confirmado_05_05,suspeito_05_05,morte_05_05,confirmado_04_05,suspeito_04_05,morte_04_05,confirmado_03_05,suspeito_03_05,morte_03_05,confirmado_02_05,suspeito_02_05,morte_02_05,confirmado_01_05,suspeito_01_05,morte_01_05,confirmado_30_04,suspeito_30_04,morte_30_04,confirmado_29_04,suspeito_29_04,morte_29_04,confirmado_28_04,suspeito_28_04,morte_28_04,confirmado_27_04,suspeito_27_04,morte_27_04,confirmado_26_04,suspeito_26_04,morte_26_04,confirmado_25_04,suspeito_25_04,morte_25_04,confirmado_24_04,suspeito_24_04,morte_24_04,confirmado_23_04,suspeito_23_04,morte_23_04,confirmado_22_04,suspeito_22_04,morte_22_04,confirmado_21_04,suspeito_21_04,morte_21_04,confirmado_20_04,suspeito_20_04,morte_20_04,confirmado_18_04,suspeito_18_04,morte_18_04,confirmado_17_04,suspeito_17_04,morte_17_04,confirmado_16_04,suspeito_16_04,morte_16_04,confirmado_15_04,suspeito_15_04,morte_15_04,confirmado_14_04,suspeito_14_04,morte_14_04,confirmado_13_04,suspeito_13_04,morte_13_04,confirmado_12_04,suspeito_12_04,morte_12_04,confirmado_11_04,suspeito_11_04,morte_11_04,confirmado_10_04,suspeito_10_04,morte_10_04,confirmado_09_04,suspeito_09_04,morte_09_04,confirmado_08_04,suspeito_08_04,morte_08_04,confirmado_07_04,suspeito_07_04,morte_07_04,morte_06_04,confirmado_05_04,suspeito_05_04,morte_05_04,morte_04_04,confirmado_03_04,suspeito_03_04,morte_03_04,confirmado_02_04,suspeito_02_04,morte_02_04,confirmado_01_04,suspeito_01_04,morte_01_04,morte_31_03,confirmado_30_03,suspeito_30_03,morte_30_03,morte_29_03,confirmado_28_03,suspeito_28_03,morte_28_03,confirmado_27_03,suspeito_27_03,morte_27_03,morte_26_03,confirmado_25_03,suspeito_25_03,morte_25_03,confirmado_24_03,suspeito_24_03,morte_24_03,morte_23_03,confirmado_22_03,suspeito_22_03,morte_22_03,morte_21_03,confirmado_20_03,suspeito_20_03,morte_20_03,morte_19_03,confirmado_18_03,suspeito_18_03,morte_18_03,morte_17_03,confirmado_16_03,suspeito_16_03,morte_16_03,morte_15_03,morte_14_03,confirmado_13_03,suspeito_13_03,morte_13_03,morte_12_03,suspeito_11_03,suspeito_10_03,suspeito_06_03,suspeito_05_03,suspeito_03_03,suspeito_02_03,suspeito_28_02
Goianinha,229,136,3,167,206,2,229,136,3,156,186,2,145,158,2,145,195,2,143,197,2,114,168,2,113,168,1,113,168,1,113,168,1,94,151,1,94,151,1,93,151,,90,151,,73,151,,72,152,,72,152,,49,145,,49,146,,48,147,,48,147,,42,123,,41,124,,36,111,,35,112,,22,119,,21,117,,19,144,,20,111,,15,104,,13,96,,12,87,,8,80,,8,66,,8,66,,8,66,,4,63,,62,2,,3,57,,3,49,,2,53,,2,52,,2,52,,2,20,,1,48,,1,46,,,44,,,39,,,39,,,39,,,39,,,38,,,36,,,37,,,36,,,36,,,36,,,26,,,21,,,21,,,21,,,21,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,18,,,,18,,,,16,,,16,,,15,,,,3,,,,3,,,3,,,,2,,,1,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,
Governador Dix-Sept Rosado,51,58,,37,76,,51,58,,27,78,,26,57,,26,65,,23,69,,20,61,,20,61,,19,62,,18,63,,16,56,,15,56,,15,56,,14,56,,13,56,,13,56,,12,56,,9,50,,9,51,,9,51,,9,51,,7,47,,7,47,,7,38,,7,38,,7,39,,7,37,,6,37,,6,37,,6,34,,6,32,,5,29,,5,30,,3,27,,3,27,,3,26,,1,25,,24,1,,1,25,,,17,,,20,,,22,,,22,,,20,,,18,,,17,,,18,,,17,,,17,,,16,,,16,,,16,,,16,,,17,,,17,,,14,,,12,,,11,,,11,,,11,,,11,,,11,,,9,,,9,,,9,,,9,,,10,,,10,,,11,,,11,,,10,,,10,,,10,,,10,,,,10,,,,10,,,10,,,7,,,,4,,,,4,,,4,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grossos,147,140,1,87,167,2,147,140,1,82,158,2,73,134,1,70,142,1,64,146,1,46,120,1,46,120,1,46,120,1,42,121,1,39,96,1,38,97,1,38,97,1,36,98,1,28,98,1,27,99,1,27,99,1,15,72,1,15,72,1,15,72,1,15,72,1,14,55,1,14,55,1,12,45,1,12,45,1,10,52,1,6,50,1,6,20,1,6,49,1,6,41,1,5,37,1,5,30,1,5,27,1,5,25,1,5,25,1,5,22,1,6,21,1,21,6,1,6,17,1,6,13,1,5,14,,4,10,1,3,10,1,3,10,1,2,9,,1,10,,1,7,,,5,,,5,,,5,,,5,,,5,,,6,,,6,,,6,,,5,,,6,,,5,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,,3,,,,3,,,2,,,2,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guamaré,203,222,5,163,228,5,203,222,5,153,208,5,121,166,4,121,193,4,120,194,4,109,184,4,108,184,4,108,184,4,108,185,4,98,155,4,97,156,4,96,156,4,96,156,4,83,156,4,83,156,4,83,156,4,77,137,4,77,138,4,76,139,4,76,139,3,55,109,3,54,110,3,46,96,1,42,98,1,38,83,1,36,70,1,26,67,1,22,76,,21,70,,17,62,,16,62,,17,55,,14,52,,13,52,,12,52,,11,52,,40,11,,10,40,,10,36,,10,36,,10,37,,10,37,,10,67,,9,35,,6,30,,6,30,,5,30,,5,29,,4,25,,4,25,,4,24,,2,21,,1,26,,1,26,,1,26,,,23,,,20,,,20,,,20,,,21,,,21,,,21,,,21,,,21,,,21,,,22,,,22,,,24,,,24,,,24,,,24,,,23,,,26,,,,26,,,,26,,,27,,,24,,,,21,,,,23,,,24,,,,24,,,6,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,
Ielmo Marinho,72,72,1,45,42,2,72,72,1,42,39,2,30,38,2,30,39,2,31,40,2,26,33,2,26,33,2,25,33,2,25,33,2,24,33,2,24,33,2,24,33,2,23,33,2,20,33,2,19,34,2,19,34,2,17,21,2,17,22,2,17,22,2,17,22,2,14,16,1,12,17,1,12,11,1,12,11,1,11,6,1,11,6,1,10,6,,12,9,,12,9,,10,9,,9,4,,7,4,,1,3,,1,3,,1,2,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,1,,1,1,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipanguaçu,60,89,7,48,72,9,60,89,7,45,66,8,43,45,8,43,48,8,42,48,7,42,39,7,42,39,7,42,39,7,42,39,7,40,34,7,39,34,6,38,35,6,38,35,6,35,35,6,35,35,6,35,35,6,33,34,5,33,34,5,33,34,5,33,34,5,30,20,5,30,20,5,26,20,5,26,20,5,24,17,4,24,16,4,22,18,4,22,20,4,22,15,4,20,15,4,20,15,4,19,14,4,18,14,3,18,14,3,18,14,3,17,14,3,10,17,3,12,8,3,12,9,3,12,9,3,11,11,2,11,10,2,11,9,2,10,8,2,10,9,2,9,8,1,9,9,1,9,8,1,9,8,1,9,8,1,8,8,1,8,5,1,4,19,1,4,17,1,4,17,1,4,2,1,2,3,1,2,5,1,2,6,,2,1,,2,1,,1,,,1,,,,,,,,,,,,,1,,,1,,,2,,,2,,,2,,,2,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ipueira,4,9,,4,11,,4,9,,4,10,,4,9,,4,12,,3,12,,2,11,,2,11,,2,11,,2,11,,2,11,,2,11,,2,11,,2,11,,2,11,,2,11,,2,11,,2,10,,2,12,,2,12,,2,12,,2,11,,2,11,,2,10,,2,10,,2,9,,2,9,,2,8,,2,8,,1,8,,1,9,,1,9,,,9,,,8,,,8,,,7,,,7,,7,,,,7,,,7,,,7,,,7,,,7,,,6,,,6,,,6,,,6,,,6,,,6,,,5,,,5,,,5,,,5,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,3,,,3,,,2,,,2,,,,2,,,,2,,,2,,,2,,,,2,,,,2,,,3,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itajá,94,29,1,74,47,1,94,29,1,70,38,1,61,26,1,60,31,1,54,31,1,37,21,1,37,21,1,37,21,1,35,22,1,32,17,1,30,19,1,30,19,1,30,20,1,24,20,1,19,25,1,19,25,1,17,19,1,17,21,1,17,21,1,17,21,1,15,18,1,15,18,1,14,12,1,12,13,1,10,14,1,9,13,1,8,9,1,8,10,1,7,10,1,6,10,1,6,7,1,4,9,,4,8,,4,8,,4,8,,4,8,,7,4,,4,7,,3,7,,3,6,,4,6,,4,6,,4,6,,3,6,,3,5,,3,5,,3,2,,3,1,,3,1,,2,2,,1,3,,1,3,,1,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,1,,,,1,,,,2,,,2,,,2,,,,2,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaú,17,11,,15,25,,17,11,,15,25,,14,24,,14,25,,14,25,,14,22,,14,22,,14,22,,14,22,,14,22,,14,22,,14,22,,14,22,,13,23,,13,23,,13,23,,13,20,,13,20,,13,20,,13,20,,13,16,,13,16,,13,16,,13,16,,12,16,,12,14,,12,12,,12,12,,12,11,,12,11,,12,13,,12,13,,12,11,,12,11,,12,11,,12,10,,10,12,,11,4,,1,2,,,2,,,2,,,2,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaçanã,54,15,,34,43,,54,15,,31,39,,27,24,,24,29,,20,31,,9,17,,9,17,,9,17,,9,17,,8,16,,8,16,,8,16,,8,16,,8,16,,8,16,,8,16,,8,10,,8,10,,8,10,,8,11,,8,9,,6,10,,6,7,,6,7,,6,12,,5,6,,5,8,,5,20,,5,6,,5,4,,3,4,,3,2,,3,2,,3,2,,3,3,,3,3,,3,3,,3,3,,3,2,,3,2,,3,2,,3,2,,3,1,,3,1,,3,1,,3,1,,3,1,,3,1,,3,1,,3,2,,3,2,,3,1,,3,1,,2,2,,2,2,,2,2,,2,1,,2,1,,1,2,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,2,,,,2,,,,3,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jandaíra,39,16,1,29,18,1,39,16,1,27,14,1,25,11,1,25,12,1,23,13,,16,11,1,16,11,1,16,11,,15,11,,8,10,,8,10,,8,10,,8,9,,5,9,,4,10,,4,10,,3,8,,3,9,,3,9,,3,9,,3,7,,3,7,,1,6,,1,6,,1,6,,1,6,,1,5,,,5,,,5,,,5,,,5,,,4,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,,2,,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janduís,8,17,1,7,16,1,8,17,1,4,11,1,1,9,1,1,10,1,1,10,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,,1,3,,1,3,,1,3,,1,3,,1,5,,1,5,,1,5,,1,7,,1,4,,1,2,,1,2,,1,2,,,3,,,3,,,3,,,3,,3,,,,3,,,2,,,2,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japi,13,21,,8,19,,13,21,,8,16,,8,14,,8,15,,7,15,,7,11,,7,11,,7,11,,7,11,,7,9,,7,9,,7,9,,7,9,,4,9,,4,9,,4,9,,4,9,,4,9,,4,9,,4,9,,2,9,,2,9,,2,5,,2,5,,,6,,,6,,,6,,,4,,,4,,,4,,,3,,,2,,,2,,,2,,,2,,,2,,2,,,,3,,,3,,,3,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim de Angicos,3,5,,3,5,,3,5,,3,5,,2,3,,2,3,,2,3,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,1,3,,1,3,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim de Piranhas,66,176,2,41,125,2,66,176,2,32,115,2,28,78,2,23,101,2,23,101,2,20,55,2,20,55,2,15,60,2,11,60,2,10,45,2,8,45,2,8,45,2,7,45,1,7,45,1,5,48,1,5,48,1,5,33,1,5,35,1,5,35,1,5,35,1,2,24,,2,24,,,21,,,21,,,17,,,17,,,18,,,21,,,19,,,19,,,17,,,12,,,10,,,10,,,10,,,10,,10,,,,9,,,10,,,10,,,10,,,10,,,9,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,9,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,,4,,,,3,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jardim do Seridó,45,43,1,30,48,1,45,43,1,30,38,1,29,29,1,29,32,1,21,38,1,18,25,1,18,25,1,18,25,1,18,25,1,17,19,1,17,19,1,17,19,1,17,19,1,13,20,,13,20,,13,20,,11,13,,11,14,,11,14,,11,14,,9,12,,9,12,,9,10,,7,11,,4,15,,4,14,,3,15,,3,16,,3,16,,2,15,,2,15,,1,15,,1,15,,1,15,,1,16,,1,13,,11,1,,1,11,,,10,,,10,,,11,,,10,,,10,,,5,,,5,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,3,,,,3,,,,4,,,4,,,4,,,,4,,,,4,,,4,,,,3,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
João Câmara,165,76,2,115,53,2,165,76,2,110,48,2,99,36,2,99,40,2,86,42,2,66,32,2,66,32,2,66,32,2,56,33,2,55,30,2,52,30,2,51,30,2,51,30,2,49,30,2,43,34,2,41,34,2,39,31,2,39,33,2,36,36,2,36,36,2,28,30,2,27,31,2,16,19,2,12,22,1,10,22,1,10,20,1,6,19,1,6,25,1,5,18,1,5,16,1,4,14,1,3,11,,3,9,,3,9,,3,9,,3,9,,8,3,,3,7,,3,6,,3,7,,3,5,,3,5,,3,5,,3,3,,3,5,,3,5,,3,5,,3,5,,3,5,,3,4,,2,3,,2,5,,2,9,,1,5,,1,5,,1,5,,1,3,,,2,,,2,,,2,,,2,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,,3,,,,3,,,3,,,2,,,,3,,,,3,,,3,,,,3,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
João Dias,,4,,,4,,,4,,1,3,,1,3,,1,4,,1,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,2,,2,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José da Penha,3,5,,1,2,,3,5,,,2,,,2,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,4,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,3,,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jucurutu,87,252,2,75,199,2,87,252,2,50,178,2,46,144,2,43,157,2,32,166,2,30,120,2,30,120,2,29,120,1,28,120,1,28,94,1,28,94,1,28,94,1,27,93,1,19,93,1,19,93,1,19,93,1,14,75,1,14,75,,14,75,,14,75,,13,50,,13,50,,12,49,,11,50,,6,40,,5,35,,3,33,,3,34,,3,28,,3,29,,3,28,,2,28,,1,28,,1,28,,1,23,,1,23,,19,1,,1,16,,1,14,,,15,,,15,,,14,,,13,,,10,,,7,,,8,,,7,,,7,,,6,,,6,,,7,,,7,,,9,,,9,,,9,,,9,,,7,,,5,,,5,,,5,,,5,,,6,,,6,,,6,,,6,,,6,,,7,,,7,,,7,,,9,,,9,,,9,,,7,,,,7,,,,7,,,6,,,4,,,,3,,,,3,,,3,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jundiá,12,7,,12,8,,12,7,,12,8,,10,8,,9,10,,9,11,,8,8,,8,8,,8,8,,8,8,,7,6,,7,6,,7,6,,7,6,,2,6,,2,6,,2,6,,2,4,,2,4,,2,4,,2,4,,2,4,,1,5,,1,4,,,5,,,5,,,4,,,5,,,5,,,5,,,5,,,4,,,4,,,2,,,2,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,,2,,,,2,,,2,,,1,,,,1,,,,1,,,1,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa d'Anta,49,53,1,38,51,1,49,53,1,29,40,1,19,29,1,19,30,1,18,31,1,8,11,1,8,11,1,8,11,1,8,11,1,5,10,1,5,10,1,5,10,1,5,10,1,2,10,1,2,10,1,2,10,1,,8,,,8,,,8,,,8,,1,5,,1,5,,1,5,,1,5,,1,4,,1,4,,,4,,,4,,1,4,,1,4,,1,4,,1,3,,,4,,,4,,,4,,,4,,3,,,,3,,,2,,,2,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,1,,,1,,,1,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,2,,,,2,,,2,,,,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Lagoa de Pedras,15,22,1,6,36,1,15,22,1,6,30,1,5,13,1,5,15,1,5,15,1,5,12,1,5,12,1,5,12,1,5,12,1,5,10,1,5,10,1,5,10,1,5,10,1,5,10,1,4,11,1,4,11,1,3,7,1,3,7,1,3,7,1,3,7,1,3,7,1,3,7,1,3,6,1,3,6,1,3,6,1,3,6,1,3,7,1,2,8,1,2,7,1,2,7,1,2,7,1,2,7,1,2,7,1,2,7,1,2,7,1,1,8,1,6,1,1,1,6,1,1,5,1,1,5,1,1,5,1,1,5,1,1,4,1,1,3,1,1,3,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,4,1,1,3,1,1,3,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,,3,1,,3,,,3,,,3,,,3,,,3,,,,3,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa de Velhos,37,2,1,28,7,,37,2,1,22,8,,22,7,,22,8,,22,8,,18,8,,18,8,,18,8,,18,8,,11,6,,11,6,,11,6,,11,6,,6,6,,6,6,,6,7,,2,8,,2,8,,2,8,,2,8,,2,7,,2,7,,1,7,,1,7,,1,2,,1,2,,1,2,,1,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,2,,,,1,,,1,,,1,,,2,,,2,,,1,,,1,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa Nova,13,10,1,12,7,1,13,10,1,11,8,1,9,7,1,9,10,1,9,10,1,8,10,1,8,10,1,8,10,,8,10,,8,9,,7,9,,7,9,,7,9,,7,9,,7,9,,7,9,,5,9,,5,10,,5,10,,5,10,,3,10,,3,10,,3,10,,3,10,,2,10,,2,9,,2,9,,2,9,,2,8,,2,8,,1,8,,1,8,,1,8,,1,8,,1,7,,1,7,,7,1,,1,7,,,7,,,7,,,7,,,7,,,6,,,6,,,6,,,6,,,6,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,,6,,,,6,,,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lagoa Salgada,31,40,,21,26,,31,40,,20,20,,11,20,,11,20,,11,20,,10,17,,10,17,,10,17,,10,17,,9,15,,8,16,,8,16,,7,16,,7,16,,6,17,,6,21,,5,16,,5,16,,5,16,,5,16,,3,12,,3,12,,3,6,,3,6,,2,7,,2,7,,2,7,,2,8,,2,7,,2,7,,2,7,,2,7,,2,6,,2,6,,2,6,,2,6,,6,2,,2,3,,2,3,,2,3,,1,4,,1,4,,1,4,,1,2,,1,1,,1,2,,1,2,,1,2,,1,2,,2,2,,1,6,,1,5,,,5,,,3,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,,1,,,,2,,,2,,,2,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lajes,40,119,1,24,114,1,40,119,1,22,103,1,20,84,1,19,85,,18,87,,16,60,,16,60,,16,60,,16,60,,15,51,,14,52,,14,52,,13,52,,10,52,,9,53,,9,53,,9,30,,9,32,,9,32,,9,32,,8,25,,7,26,,6,21,,3,23,,2,22,,2,21,,1,18,,1,17,,1,13,,1,10,,1,12,,1,12,,1,10,,1,10,,1,11,,1,10,,9,1,,1,7,,1,7,,1,5,,1,4,,1,4,,1,5,,1,5,,1,4,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,4,,,5,,,4,,,5,,,2,,,4,,,3,,,2,,,2,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,2,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
